2020-09-01 오전 12:13:04: create folder: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config
2020-09-01 오전 12:13:04: create file: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config\special_programs
2020-09-01 오전 12:13:04: create file: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config\programs_running_cfg_cpu
2020-09-01 오전 12:13:04: create file: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config\programs_running_cfg_xtu
2020-09-01 오전 12:13:04: create file: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config\programs_running_cfg_nice
2020-09-01 오전 12:13:04: create file: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config\loop_delay
2020-09-01 오전 12:13:04: create file: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config\boost_cycle_delay
2020-09-01 오전 12:13:04: create file: C:\Users\hoholee12\Documents\visual studio 2013\Projects\ThrottleSchedulerService\ThrottleSchedulerService\bin\Debug\xtu_scheduler_config\ac_offset
2020-09-01 오전 12:13:48: clk:2701, load:20, temp:62
2020-09-01 오전 12:13:52: clk:2701, load:20, temp:61
2020-09-01 오전 12:13:57: clk:2701, load:20, temp:63
2020-09-01 오전 12:14:02: clk:2701, load:20, temp:60
2020-09-01 오전 12:14:07: clk:2701, load:20, temp:60
2020-09-01 오전 12:14:12: clk:2701, load:20, temp:63
2020-09-01 오전 12:14:17: clk:2701, load:20, temp:66
2020-09-01 오전 12:14:22: clk:2701, load:20, temp:60
2020-09-01 오전 12:14:27: clk:2701, load:20, temp:59
2020-09-01 오전 12:14:32: clk:2701, load:20, temp:59
2020-09-01 오전 12:14:37: clk:2701, load:20, temp:59
2020-09-01 오전 12:14:42: clk:2701, load:20, temp:62
2020-09-01 오전 12:14:47: clk:2701, load:20, temp:59
2020-09-01 오전 12:14:52: clk:2701, load:20, temp:61
2020-09-01 오전 12:14:57: clk:2701, load:20, temp:61
2020-09-01 오전 12:15:02: clk:2701, load:20, temp:61
2020-09-01 오전 12:15:07: clk:2701, load:20, temp:62
2020-09-01 오전 12:15:12: clk:2701, load:20, temp:59
2020-09-01 오전 12:15:17: clk:2701, load:20, temp:62
2020-09-01 오전 12:15:22: clk:2701, load:20, temp:60
2020-09-01 오전 12:15:27: clk:2701, load:20, temp:59
2020-09-01 오전 12:15:32: clk:2701, load:20, temp:61
2020-09-01 오전 12:15:37: clk:2701, load:20, temp:62
2020-09-01 오전 12:15:42: clk:2701, load:20, temp:64
2020-09-01 오전 12:15:47: clk:2701, load:20, temp:63
2020-09-01 오전 12:15:52: clk:2701, load:20, temp:69
2020-09-01 오전 12:15:57: clk:2701, load:20, temp:62
2020-09-01 오전 12:16:02: clk:2701, load:20, temp:61
2020-09-01 오전 12:16:07: clk:2701, load:20, temp:60
2020-09-01 오전 12:16:12: clk:2701, load:20, temp:65
2020-09-01 오전 12:16:17: clk:2701, load:20, temp:62
2020-09-01 오전 12:16:22: clk:2701, load:20, temp:61
2020-09-01 오전 12:16:27: clk:2701, load:20, temp:63
