2020-10-02 오후 12:31:08: clk:2700, load:100, temp:41
2020-10-02 오후 12:31:13: clk:2701, load:21, temp:43
2020-10-02 오후 12:31:18: clk:2701, load:42, temp:52
2020-10-02 오후 12:31:23: clk:2701, load:21, temp:46
2020-10-02 오후 12:31:28: clk:2701, load:6, temp:44
2020-10-02 오후 12:31:33: clk:2701, load:4, temp:45
2020-10-02 오후 12:31:38: clk:2701, load:11, temp:45
2020-10-02 오후 12:31:43: clk:2701, load:9, temp:41
2020-10-02 오후 12:31:48: clk:2701, load:3, temp:41
2020-10-02 오후 12:31:53: clk:2701, load:9, temp:44
2020-10-02 오후 12:31:58: clk:2701, load:3, temp:39
2020-10-02 오후 12:32:03: clk:2701, load:5, temp:40
2020-10-02 오후 12:32:08: clk:2701, load:6, temp:42
2020-10-02 오후 12:32:13: clk:2701, load:3, temp:40
2020-10-02 오후 12:32:18: clk:2701, load:3, temp:43
2020-10-02 오후 12:32:23: clk:2701, load:6, temp:38
2020-10-02 오후 12:32:28: clk:2701, load:3, temp:39
2020-10-02 오후 12:32:33: clk:2701, load:8, temp:41
2020-10-02 오후 12:32:38: clk:2701, load:3, temp:39
2020-10-02 오후 12:32:43: clk:1600, load:1, temp:40
2020-10-02 오후 12:32:48: clk:2701, load:19, temp:41
2020-10-02 오후 12:32:53: clk:2000, load:11, temp:42
2020-10-02 오후 12:32:58: clk:2701, load:11, temp:43
2020-10-02 오후 12:33:03: clk:2701, load:26, temp:60
2020-10-02 오후 12:33:08: clk:2701, load:36, temp:63
2020-10-02 오후 12:33:13: clk:2300, load:28, temp:54
2020-10-02 오후 12:33:18: clk:1600, load:17, temp:45
2020-10-02 오후 12:33:21: throttle detected!
2020-10-02 오후 12:33:23: clk:2701, load:11, temp:44
2020-10-02 오후 12:33:28: clk:2701, load:20, temp:44
2020-10-02 오후 12:33:33: clk:2701, load:9, temp:44
2020-10-02 오후 12:33:38: throttle detected!
2020-10-02 오후 12:33:38: clk:2300, load:20, temp:44
2020-10-02 오후 12:33:43: clk:1800, load:7, temp:43
2020-10-02 오후 12:33:48: clk:2701, load:6, temp:41
2020-10-02 오후 12:33:53: clk:2701, load:32, temp:41
2020-10-02 오후 12:33:58: clk:2701, load:7, temp:42
2020-10-02 오후 12:34:03: clk:2300, load:26, temp:40
2020-10-02 오후 12:34:08: clk:2701, load:32, temp:41
2020-10-02 오후 12:34:13: clk:1800, load:6, temp:43
2020-10-02 오후 12:34:18: clk:2701, load:23, temp:44
2020-10-02 오후 12:34:23: clk:2701, load:10, temp:44
2020-10-02 오후 12:34:28: clk:2701, load:29, temp:40
2020-10-02 오후 12:34:33: clk:2701, load:25, temp:45
2020-10-02 오후 12:34:38: clk:2701, load:6, temp:43
2020-10-02 오후 12:34:43: clk:2701, load:25, temp:43
2020-10-02 오후 12:34:48: clk:2701, load:19, temp:42
2020-10-02 오후 12:34:53: clk:2701, load:7, temp:41
2020-10-02 오후 12:34:58: clk:2701, load:28, temp:41
2020-10-02 오후 12:35:03: clk:2701, load:3, temp:41
2020-10-02 오후 12:35:08: clk:1400, load:18, temp:40
2020-10-02 오후 12:35:13: clk:2300, load:18, temp:44
2020-10-02 오후 12:35:18: clk:2701, load:14, temp:40
2020-10-02 오후 12:35:23: clk:2701, load:25, temp:42
2020-10-02 오후 12:35:27: throttle detected!
2020-10-02 오후 12:35:28: clk:2300, load:15, temp:46
2020-10-02 오후 12:35:33: clk:2300, load:17, temp:47
2020-10-02 오후 12:35:38: clk:2000, load:28, temp:48
2020-10-02 오후 12:35:43: clk:2701, load:14, temp:54
2020-10-02 오후 12:35:48: clk:2701, load:8, temp:46
2020-10-02 오후 12:35:53: clk:2000, load:14, temp:47
2020-10-02 오후 12:35:58: clk:2701, load:32, temp:57
2020-10-02 오후 12:36:03: clk:2701, load:20, temp:50
2020-10-02 오후 12:36:07: throttle detected!
2020-10-02 오후 12:36:08: clk:2701, load:26, temp:51
2020-10-02 오후 12:36:13: clk:2701, load:15, temp:51
2020-10-02 오후 12:36:18: clk:2000, load:14, temp:50
2020-10-02 오후 12:36:23: clk:2300, load:34, temp:58
2020-10-02 오후 12:36:28: clk:2701, load:20, temp:52
2020-10-02 오후 12:36:33: clk:2701, load:25, temp:50
2020-10-02 오후 12:36:38: clk:2701, load:21, temp:48
2020-10-02 오후 12:36:43: clk:2701, load:18, temp:51
2020-10-02 오후 12:36:48: clk:2701, load:9, temp:49
2020-10-02 오후 12:36:53: clk:2701, load:26, temp:51
2020-10-02 오후 12:36:58: clk:2701, load:8, temp:49
2020-10-02 오후 12:37:03: clk:2701, load:29, temp:47
2020-10-02 오후 12:37:08: clk:2000, load:19, temp:48
2020-10-02 오후 12:37:13: clk:2701, load:22, temp:46
2020-10-02 오후 12:37:18: clk:1800, load:17, temp:47
2020-10-02 오후 12:37:21: throttle detected!
2020-10-02 오후 12:37:23: clk:2701, load:10, temp:50
2020-10-02 오후 12:37:28: clk:2000, load:15, temp:48
2020-10-02 오후 12:37:33: clk:2701, load:26, temp:48
2020-10-02 오후 12:37:38: clk:2701, load:15, temp:47
2020-10-02 오후 12:37:43: clk:2701, load:37, temp:46
2020-10-02 오후 12:37:48: clk:1800, load:9, temp:46
2020-10-02 오후 12:37:53: clk:2701, load:10, temp:45
2020-10-02 오후 12:37:58: clk:1200, load:29, temp:46
2020-10-02 오후 12:38:03: clk:2300, load:15, temp:47
2020-10-02 오후 12:38:08: clk:2701, load:8, temp:47
2020-10-02 오후 12:38:13: clk:2701, load:12, temp:46
2020-10-02 오후 12:38:18: clk:2701, load:37, temp:44
2020-10-02 오후 12:38:23: clk:1400, load:18, temp:45
2020-10-02 오후 12:38:28: clk:2701, load:17, temp:49
2020-10-02 오후 12:38:33: clk:1600, load:27, temp:49
2020-10-02 오후 12:38:38: clk:2701, load:21, temp:51
2020-10-02 오후 12:38:43: clk:1400, load:19, temp:49
2020-10-02 오후 12:38:48: clk:2701, load:8, temp:49
2020-10-02 오후 12:38:53: clk:2701, load:4, temp:51
2020-10-02 오후 12:38:58: clk:2701, load:45, temp:49
2020-10-02 오후 12:39:03: clk:2701, load:12, temp:51
2020-10-02 오후 12:39:08: clk:2701, load:14, temp:49
2020-10-02 오후 12:39:13: clk:2701, load:23, temp:49
2020-10-02 오후 12:39:18: clk:2300, load:17, temp:51
2020-10-02 오후 12:39:23: clk:1800, load:20, temp:53
2020-10-02 오후 12:39:28: clk:2701, load:31, temp:51
2020-10-02 오후 12:39:33: clk:2300, load:14, temp:51
2020-10-02 오후 12:39:38: clk:2000, load:26, temp:51
2020-10-02 오후 12:39:43: clk:2300, load:17, temp:57
2020-10-02 오후 12:39:48: clk:2300, load:25, temp:49
2020-10-02 오후 12:39:53: clk:2000, load:40, temp:62
2020-10-02 오후 12:39:58: clk:1800, load:20, temp:52
2020-10-02 오후 12:40:03: clk:2000, load:31, temp:53
2020-10-02 오후 12:40:08: clk:1800, load:11, temp:51
2020-10-02 오후 12:40:13: clk:2000, load:17, temp:47
2020-10-02 오후 12:40:18: clk:2701, load:34, temp:50
2020-10-02 오후 12:40:23: clk:2701, load:18, temp:51
2020-10-02 오후 12:40:28: clk:2701, load:20, temp:50
2020-10-02 오후 12:40:33: clk:2701, load:35, temp:49
2020-10-02 오후 12:40:35: throttle detected!
2020-10-02 오후 12:40:38: clk:2701, load:9, temp:47
2020-10-02 오후 12:40:43: clk:2701, load:28, temp:51
2020-10-02 오후 12:40:48: clk:2701, load:11, temp:47
2020-10-02 오후 12:40:53: clk:2701, load:31, temp:47
2020-10-02 오후 12:40:58: clk:2701, load:29, temp:52
2020-10-02 오후 12:41:03: clk:2701, load:18, temp:47
2020-10-02 오후 12:41:08: clk:2701, load:35, temp:51
2020-10-02 오후 12:41:13: clk:2701, load:6, temp:51
2020-10-02 오후 12:41:18: clk:2701, load:15, temp:48
2020-10-02 오후 12:41:23: clk:2701, load:19, temp:55
2020-10-02 오후 12:41:28: clk:2701, load:15, temp:51
2020-10-02 오후 12:41:33: clk:2701, load:23, temp:49
2020-10-02 오후 12:41:38: clk:2701, load:4, temp:49
2020-10-02 오후 12:41:43: clk:2300, load:34, temp:49
2020-10-02 오후 12:41:48: clk:2701, load:46, temp:67
2020-10-02 오후 12:41:53: clk:2701, load:17, temp:52
2020-10-02 오후 12:41:58: clk:2701, load:9, temp:49
2020-10-02 오후 12:42:03: clk:2701, load:1, temp:48
2020-10-02 오후 12:42:08: clk:2000, load:23, temp:48
2020-10-02 오후 12:42:13: clk:2300, load:13, temp:49
2020-10-02 오후 12:42:18: clk:2000, load:9, temp:46
2020-10-02 오후 12:42:23: clk:2300, load:25, temp:47
2020-10-02 오후 12:42:28: clk:2300, load:15, temp:47
2020-10-02 오후 12:42:33: clk:2000, load:15, temp:46
2020-10-02 오후 12:42:38: clk:2701, load:9, temp:48
2020-10-02 오후 12:42:43: clk:2000, load:25, temp:48
2020-10-02 오후 12:42:48: clk:1800, load:17, temp:48
2020-10-02 오후 12:42:53: clk:2300, load:18, temp:48
2020-10-02 오후 12:42:58: clk:2000, load:25, temp:47
2020-10-02 오후 12:43:03: clk:2300, load:45, temp:48
2020-10-02 오후 12:43:08: clk:1800, load:20, temp:50
2020-10-02 오후 12:43:13: clk:1800, load:25, temp:49
2020-10-02 오후 12:43:18: clk:2701, load:31, temp:50
2020-10-02 오후 12:43:23: clk:2000, load:25, temp:50
2020-10-02 오후 12:43:28: clk:2300, load:26, temp:49
2020-10-02 오후 12:43:31: throttle detected!
2020-10-02 오후 12:43:32: throttle detected!
2020-10-02 오후 12:43:33: clk:2701, load:10, temp:49
2020-10-02 오후 12:43:38: clk:2701, load:21, temp:48
2020-10-02 오후 12:43:43: clk:1800, load:22, temp:47
2020-10-02 오후 12:43:48: clk:1600, load:17, temp:46
2020-10-02 오후 12:43:53: clk:2300, load:37, temp:48
2020-10-02 오후 12:43:58: clk:2701, load:15, temp:47
2020-10-02 오후 12:44:03: clk:2000, load:28, temp:48
2020-10-02 오후 12:44:08: clk:2300, load:25, temp:48
2020-10-02 오후 12:44:13: clk:2701, load:18, temp:48
2020-10-02 오후 12:44:18: clk:2701, load:17, temp:47
2020-10-02 오후 12:44:23: clk:1400, load:26, temp:48
2020-10-02 오후 12:44:28: clk:1600, load:14, temp:48
2020-10-02 오후 12:44:33: clk:2701, load:31, temp:49
2020-10-02 오후 12:44:38: clk:1200, load:32, temp:58
2020-10-02 오후 12:44:43: clk:2701, load:63, temp:63
2020-10-02 오후 12:44:48: clk:1400, load:25, temp:67
2020-10-02 오후 12:44:53: clk:2701, load:28, temp:56
2020-10-02 오후 12:44:58: clk:1800, load:22, temp:54
2020-10-02 오후 12:45:03: clk:1400, load:15, temp:53
2020-10-02 오후 12:45:08: clk:2000, load:35, temp:63
2020-10-02 오후 12:45:13: clk:2701, load:59, temp:72
2020-10-02 오후 12:45:18: throttle detected!
2020-10-02 오후 12:45:18: clk:2701, load:28, temp:56
2020-10-02 오후 12:45:23: clk:2701, load:18, temp:64
2020-10-02 오후 12:45:28: clk:2300, load:18, temp:56
2020-10-02 오후 12:45:33: clk:1600, load:24, temp:56
2020-10-02 오후 12:45:36: throttle detected!
2020-10-02 오후 12:45:38: clk:1800, load:29, temp:67
2020-10-02 오후 12:45:43: clk:1600, load:34, temp:55
2020-10-02 오후 12:45:45: throttle detected!
2020-10-02 오후 12:45:48: clk:2701, load:25, temp:56
2020-10-02 오후 12:45:53: clk:1800, load:25, temp:57
2020-10-02 오후 12:45:57: throttle detected!
2020-10-02 오후 12:45:58: clk:2000, load:32, temp:55
2020-10-02 오후 12:46:03: clk:2300, load:20, temp:55
2020-10-02 오후 12:46:08: clk:2300, load:29, temp:55
2020-10-02 오후 12:46:13: clk:2701, load:15, temp:59
2020-10-02 오후 12:46:18: clk:2701, load:9, temp:67
2020-10-02 오후 12:46:23: clk:2701, load:23, temp:62
2020-10-02 오후 12:46:28: clk:2701, load:29, temp:60
2020-10-02 오후 12:46:33: clk:2701, load:13, temp:57
2020-10-02 오후 12:46:38: clk:2701, load:15, temp:55
2020-10-02 오후 12:46:41: throttle detected!
2020-10-02 오후 12:46:43: clk:2701, load:45, temp:69
2020-10-02 오후 12:46:48: clk:2701, load:39, temp:59
2020-10-02 오후 12:46:53: clk:2701, load:23, temp:53
2020-10-02 오후 12:46:58: clk:2701, load:10, temp:54
2020-10-02 오후 12:47:03: clk:2701, load:20, temp:56
2020-10-02 오후 12:47:08: clk:2701, load:26, temp:64
2020-10-02 오후 12:47:13: clk:2701, load:25, temp:58
2020-10-02 오후 12:47:18: clk:2701, load:17, temp:59
2020-10-02 오후 12:47:23: clk:2300, load:25, temp:66
2020-10-02 오후 12:47:28: clk:2300, load:24, temp:56
2020-10-02 오후 12:47:33: clk:2701, load:28, temp:55
2020-10-02 오후 12:47:38: clk:2701, load:18, temp:54
2020-10-02 오후 12:47:43: clk:2701, load:12, temp:52
2020-10-02 오후 12:47:48: clk:2701, load:6, temp:53
2020-10-02 오후 12:47:53: clk:2701, load:29, temp:52
2020-10-02 오후 12:47:58: clk:2701, load:25, temp:52
2020-10-02 오후 12:48:03: clk:1200, load:18, temp:52
2020-10-02 오후 12:48:08: clk:2701, load:18, temp:50
2020-10-02 오후 12:48:13: clk:2701, load:23, temp:55
2020-10-02 오후 12:48:18: clk:1600, load:31, temp:58
2020-10-02 오후 12:48:20: throttle detected!
2020-10-02 오후 12:48:23: clk:2701, load:12, temp:55
2020-10-02 오후 12:48:28: clk:1600, load:21, temp:51
2020-10-02 오후 12:48:33: clk:2701, load:27, temp:52
2020-10-02 오후 12:48:38: clk:2701, load:12, temp:52
2020-10-02 오후 12:48:43: clk:2701, load:29, temp:53
2020-10-02 오후 12:48:48: clk:2701, load:20, temp:50
2020-10-02 오후 12:48:53: clk:2701, load:4, temp:50
2020-10-02 오후 12:48:58: clk:2000, load:18, temp:50
2020-10-02 오후 12:49:03: clk:2701, load:12, temp:51
2020-10-02 오후 12:49:08: clk:2000, load:25, temp:51
2020-10-02 오후 12:49:13: clk:2701, load:15, temp:50
2020-10-02 오후 12:49:18: clk:2701, load:8, temp:50
2020-10-02 오후 12:49:23: clk:1400, load:11, temp:51
2020-10-02 오후 12:49:28: clk:2300, load:11, temp:58
2020-10-02 오후 12:49:33: clk:1400, load:11, temp:50
2020-10-02 오후 12:49:38: clk:1800, load:20, temp:51
2020-10-02 오후 12:49:43: clk:1200, load:20, temp:51
2020-10-02 오후 12:49:48: clk:1800, load:46, temp:60
2020-10-02 오후 12:49:54: clk:2701, load:62, temp:64
2020-10-02 오후 12:49:59: clk:2701, load:26, temp:56
2020-10-02 오후 12:50:04: clk:2701, load:32, temp:55
2020-10-02 오후 12:50:08: clk:2701, load:25, temp:64
2020-10-02 오후 12:50:13: clk:2701, load:51, temp:74
2020-10-02 오후 12:50:19: clk:2300, load:20, temp:59
2020-10-02 오후 12:50:24: clk:2701, load:20, temp:56
2020-10-02 오후 12:50:29: clk:2701, load:14, temp:55
2020-10-02 오후 12:50:34: clk:2701, load:6, temp:53
2020-10-02 오후 12:50:39: clk:2701, load:25, temp:53
2020-10-02 오후 12:50:44: clk:1600, load:20, temp:54
2020-10-02 오후 12:50:49: clk:2701, load:15, temp:53
2020-10-02 오후 12:50:54: clk:2300, load:34, temp:52
2020-10-02 오후 12:50:59: clk:2300, load:11, temp:61
2020-10-02 오후 12:51:04: clk:2300, load:17, temp:52
2020-10-02 오후 12:51:09: clk:2300, load:6, temp:52
2020-10-02 오후 12:51:14: clk:2701, load:15, temp:61
2020-10-02 오후 12:51:19: clk:2701, load:20, temp:54
2020-10-02 오후 12:51:24: clk:2701, load:20, temp:53
2020-10-02 오후 12:51:29: clk:2701, load:23, temp:53
2020-10-02 오후 12:51:34: clk:1400, load:26, temp:53
2020-10-02 오후 12:51:39: clk:1400, load:8, temp:51
2020-10-02 오후 12:51:44: clk:2000, load:23, temp:53
2020-10-02 오후 12:51:49: clk:2000, load:14, temp:52
2020-10-02 오후 12:51:54: clk:2701, load:28, temp:51
2020-10-02 오후 12:51:59: clk:2300, load:34, temp:50
2020-10-02 오후 12:52:04: clk:2000, load:21, temp:59
2020-10-02 오후 12:52:09: clk:2701, load:37, temp:52
2020-10-02 오후 12:52:14: clk:2701, load:28, temp:52
2020-10-02 오후 12:52:19: clk:2701, load:21, temp:49
2020-10-02 오후 12:52:24: clk:2701, load:9, temp:49
2020-10-02 오후 12:52:29: clk:2701, load:13, temp:52
2020-10-02 오후 12:52:34: clk:2000, load:26, temp:52
2020-10-02 오후 12:52:39: clk:2300, load:15, temp:52
2020-10-02 오후 12:52:44: clk:2701, load:11, temp:51
2020-10-02 오후 12:52:49: clk:2701, load:20, temp:52
2020-10-02 오후 12:52:54: clk:2701, load:6, temp:51
2020-10-02 오후 12:52:59: clk:1200, load:20, temp:51
2020-10-02 오후 12:53:04: clk:2300, load:25, temp:52
2020-10-02 오후 12:53:09: clk:2701, load:21, temp:53
2020-10-02 오후 12:53:14: clk:2701, load:8, temp:51
2020-10-02 오후 12:53:19: clk:1800, load:18, temp:52
2020-10-02 오후 12:53:24: clk:2701, load:19, temp:50
2020-10-02 오후 12:53:29: clk:2701, load:22, temp:50
2020-10-02 오후 12:53:34: clk:2300, load:11, temp:51
2020-10-02 오후 12:53:38: throttle detected!
2020-10-02 오후 12:53:39: clk:2300, load:15, temp:50
2020-10-02 오후 12:53:44: clk:2000, load:23, temp:49
2020-10-02 오후 12:53:49: clk:2701, load:15, temp:49
2020-10-02 오후 12:53:54: clk:2000, load:8, temp:51
2020-10-02 오후 12:53:59: clk:1200, load:18, temp:53
2020-10-02 오후 12:54:04: clk:2701, load:21, temp:53
2020-10-02 오후 12:54:09: clk:2000, load:36, temp:56
